close	volumeto	epoch2date
1149.05	53003830.46	1487894400
1171.58	35750258.05	1487980800
1188.83	42035366.64	1488067200
1189.27	60371869.57	1488153600
1222.66	61964760.57	1488240000
1255.47	98040639.32	1488326400
1283.3	85876262.86	1488412800
1264.32	48597934.9	1488499200
1271.22	32104972.38	1488585600
1277.01	39591110.81	1488672000
1232.69	108673876.5	1488758400
1146.97	116342973.9	1488844800
1191.33	70427061.57	1488931200
1112.39	223836041.8	1489017600
1179.22	82387198.06	1489104000
1225.11	53441762.07	1489190400
1238.19	74376298.14	1489276800
1243.14	56058617.23	1489363200
1253.43	54486699.63	1489449600
1172.88	159409024.5	1489536000
1071.71	183879768.7	1489622400
971.38	212772055.7	1489708800
1022.6	108128237.8	1489795200
1047.51	63833143.48	1489881600
1121.29	101051998.7	1489968000
1044.72	120730492.1	1490054400
1035.03	58898141.13	1490140800
939.7	130042865.5	1490227200
966.3	118395054.5	1490313600
969.44	83255983.42	1490400000
1045.14	92332221.14	1490486400
1044.42	83567551.46	1490572800
1041.9	71261535.48	1490659200
1037.91	77633883.53	1490745600
1079.11	96543920.02	1490832000
1086.12	55020078.21	1490918400
1097.4	77853933.84	1491004800
1147.56	111870807.4	1491091200
1141.77	81164094.44	1491177600
1129.87	78335573.66	1491264000
1188.7	108182158.2	1491350400
1190.49	71184485.98	1491436800
1180.78	39393003.33	1491523200
1204.34	54498333.26	1491609600
1206.71	48473680.7	1491696000
1220.74	45563707.07	1491782400
1212.53	54699396.14	1491868800
1176.2	78456422.62	1491955200
1177.33	56129576.67	1492041600
1176.99	33877537.21	1492128000
1176.8	22538918.55	1492214400
1194.01	56095607.39	1492300800
1206.09	64900219.25	1492387200
1215.2	53034357.1	1492473600
1238.09	69223360.98	1492560000
1249.64	52498296.85	1492646400
1240.89	55776932.72	1492732800
1249.14	54224355.75	1492819200
1248.18	49281629.32	1492905600
1264.31	56659016.28	1492992000
1286.63	77649710.39	1493078400
1332.91	83319636.4	1493164800
1329.62	104536476.7	1493251200
1336.28	55982468.15	1493337600
1351.91	55470285.83	1493424000
1415.81	144414038.5	1493510400
1445.93	103342245	1493596800
1485.55	122551707.4	1493683200
1516.76	213084949.6	1493769600
1507.77	188015772	1493856000
1545.29	92747185.54	1493942400
1554.45	111708072.4	1494028800
1664.47	174687869.2	1494115200
1697.5	219169486.2	1494201600
1752.31	156203600.1	1494288000
1819.29	198829123.4	1494374400
1686.39	192159874	1494460800
1763.74	128390095.8	1494547200
1772.55	72874378.57	1494633600
1708.92	138499150.9	1494720000
1729.34	130379207.2	1494806400
1801.3	170954154.7	1494892800
1880.99	135901905.4	1494979200
1962	191523926.2	1495065600
2040.18	179346919.1	1495152000
2044.19	161036810.1	1495238400
2124.41	373482496	1495324800
2272.58	251969081.9	1495411200
2445.28	353734030.9	1495497600
2307.22	622139031	1495584000
2244.89	441342711.5	1495670400
2052.43	446034004	1495756800
2189.02	266766116.9	1495843200
2278.21	204101576.1	1495929600
2192.55	270069146.9	1496016000
2303.34	261223036	1496102400
2412.65	290070431.9	1496188800
2492.6	199765372.8	1496275200
2545.43	177168595.5	1496361600
2524.06	149060810.4	1496448000
2704.96	225611887.5	1496534400
2870.5	538772473.8	1496620800
2691.51	340329903.7	1496707200
2798.78	260898606.1	1496793600
2811.43	189237110.9	1496880000
2900.25	246869682.1	1496966400
2973.45	241516660.8	1497052800
2656.77	585158909.9	1497139200
2712.99	314476276.7	1497225600
2467.27	448294279.4	1497312000
2442.46	606264366	1497398400
2508.58	286630757.6	1497484800
2655.1	246698591.9	1497571200
2539.56	235239296.3	1497657600
2616.82	210372750.9	1497744000
2754.38	300034010.6	1497830400
2677.62	313234721.5	1497916800
2722.84	210318781	1498003200
2710.37	155303414.2	1498089600
2590.05	228007287	1498176000
2541.62	220679135.8	1498262400
2446.05	401912134.9	1498348800
2583.75	381517099.9	1498435200
2577.74	279792448.2	1498521600
2558.37	191733499.8	1498608000
2480.61	183878856.3	1498694400
2424.61	160661673.8	1498780800
2536.46	165839565.2	1498867200
2572.47	212244951.2	1498953600
2617.32	210433639.1	1499040000
2627.86	232257106.9	1499126400
2614.24	156558009.8	1499212800
2513.88	229168229.2	1499299200
2564.86	136973389.5	1499385600
2511.43	99506518.51	1499472000
2344.02	297270301	1499558400
2324.29	341998621.1	1499644800
2403.09	257095280.1	1499731200
2362.44	208630220.7	1499817600
2234.17	257704533.4	1499904000
1975.08	320719096.8	1499990400
1914.09	364287861.7	1500076800
2233.39	368366495.4	1500163200
2320.23	465220151.8	1500249600
2282.58	357639189.6	1500336000
2866.02	807416890.9	1500422400
2675.08	529154790	1500508800
2836.53	341992860.2	1500595200
2756.61	299869260.3	1500681600
2763.42	229047365	1500768000
2582.58	534765380.8	1500854400
2559.21	340465234.9	1500940800
2691.88	269880858	1501027200
2806.75	383479795.7	1501113600
2733.5	230818895	1501200000
2766.49	222933516.3	1501286400
2883.27	254836601.6	1501372800
2746.99	341216428.6	1501459200
2720.53	222534344.6	1501545600
2809.99	188517085.9	1501632000
2878.49	195800289.5	1501718400
3262.8	503737620.4	1501804800
3232.03	196484496.5	1501891200
3401.91	294021645.2	1501977600
3429.38	366169429.3	1502064000
3348.79	324058681.7	1502150400
3425.67	242024460.3	1502236800
3654.37	345135492.4	1502323200
3871.62	469532325.4	1502409600
4062.6	638917500.3	1502496000
4327.94	540927757.8	1502582400
4161.66	872840682.3	1502668800
4387.4	472960334.5	1502755200
4278.92	554232802.5	1502841600
4105.37	603898315.5	1502928000
4150.45	462723151.9	1503014400
4066.6	288193446.2	1503100800
4005.1	365174045.8	1503187200
4089.7	659657838.9	1503273600
4141.09	402340258.5	1503360000
4318.35	305373477.8	1503446400
4364.41	362283253	1503532800
4352.3	199403922.8	1503619200
4345.75	185180843.1	1503705600
4390.31	325285703.3	1503792000
4597.31	455467850.2	1503878400
4583.02	313466398.1	1503964800
4735.11	338981145.1	1504051200
4921.85	491140364.6	1504137600
4573.8	747713818.1	1504224000
4612.92	470135795.4	1504310400
4267.45	737216060.5	1504396800
4409.08	673846827.7	1504483200
4618.71	504717245.7	1504569600
4635.6	324939872.8	1504656000
4326.45	786819863.5	1504742400
4335.13	332195251.1	1504828800
4245.89	451244396.5	1504915200
4217.9	375254125.2	1505001600
4158.92	453402207.4	1505088000
3870.29	728385231.8	1505174400
3243.08	1118258890	1505260800
3713.76	1519153953	1505347200
3698.92	627559216.2	1505433600
3689.61	351250484.2	1505520000
4100.28	586938661.3	1505606400
3907.96	488897829.6	1505692800
3882.16	342438072.5	1505779200
3617.27	543570164.1	1505865600
3600.83	414612501.8	1505952000
3788.02	253370774.7	1506038400
3667.52	183852135.7	1506124800
3932.83	386674961.7	1506211200
3892.7	248481868.9	1506297600
4212.2	480358673.9	1506384000
4195.65	386909537	1506470400
4172.79	404599756.3	1506556800
4360.62	290796940	1506643200
4403.09	262485153.9	1506729600
4401.32	314621927.6	1506816000
4314.18	353046057.5	1506902400
4218.66	272424730.5	1506988800
4321.44	271914958.4	1507075200
4371.94	269878225.7	1507161600
4435.81	176332039.1	1507248000
4611.7	323063950.8	1507334400
4777.49	518586828.5	1507420800
4763.36	475717720.6	1507507200
4824.2	338533507.3	1507593600
5432.62	848641969.3	1507680000
5637.26	1211469141	1507766400
5824.71	434406120	1507852800
5688.14	571166215.3	1507939200
5759.33	349154669.3	1508025600
5598.58	368658284.4	1508112000
5575.83	654722509	1508198400
5698.65	469774559.1	1508284800
5993.11	729487923	1508371200
6006.65	684989667.2	1508457600
5982.86	618893096.8	1508544000
5903.61	801148315.5	1508630400
5513.08	811951129.7	1508716800
5734	585738379.9	1508803200
5887.61	547664553.6	1508889600
5764.56	488283724	1508976000
5726.61	305611141	1509062400
6147.52	966990808.9	1509148800
6124.28	481600503	1509235200
6451.24	637838767	1509321600
6737.78	869798619.8	1509408000
7024.81	1663170040	1509494400
7152.12	1120978013	1509580800
7363.8	773371754.9	1509667200
7389.55	789287755.2	1509753600
6959.23	1148125489	1509840000
7102.75	716798409.1	1509926400
7444.36	1632547466	1510012800
7129.59	915963933.1	1510099200
6565.8	1513421267	1510185600
6339.86	878096915.4	1510272000
5878.13	1629165386	1510358400
6522.45	1135256036	1510444800
6597.06	634604991.5	1510531200
7283.22	922959468.5	1510617600
7853.68	1010130763	1510704000
7699.95	917599923.2	1510790400
7780.91	571121111	1510876800
8042.64	541391321.6	1510963200
8244.69	617354329	1511049600
8099.97	938345413.2	1511136000
8234.55	539697375.4	1511222400
8013.41	555465146.3	1511308800
8200.8	595710405.8	1511395200
8754.69	718483679.6	1511481600
9318.42	782499976.7	1511568000
9733.2	1025175620	1511654400
9906.04	865328615.7	1511740800
9837.86	2418792361	1511827200
9946.76	1836210107	1511913600
10861.47	1353669597	1512000000
10912.73	950474241.6	1512086400
11246.21	1380012064	1512172800
11623.91	1057859226	1512259200
11667.13	1048839304	1512345600
13749.57	2437037792	1512432000
16850.31	4510225316	1512518400
16047.61	4546014732	1512604800
14843.42	2699876215	1512691200
15059.6	2904037860	1512777600
16732.47	2634267595	1512864000
17083.9	2246138896	1512950400
16286.82	2576055942	1513036800
16467.91	1773813863	1513123200
17604.85	2682351214	1513209600
19345.49	2078806369	1513296000
19065.71	2264650370	1513382400
18972.32	2597510050	1513468800
17523.7	3136709262	1513555200
16461.97	3791752511	1513641600
15632.12	2619295476	1513728000
13664.97	6245731508	1513814400
14396.46	2491903154	1513900800
13789.95	2428437693	1513987200
13833.49	1487888107	1514073600
15756.56	2198577125	1514160000
15416.64	2162831129	1514246400
14398.7	2425912718	1514332800
14392.57	1733583750	1514419200
12531.52	2387311023	1514505600
13850.4	1492142484	1514592000
13444.88	1057521524	1514678400
14754.13	1956783037	1514764800
15156.62	1604206990	1514851200
15180.08	1656714737	1514937600
16954.78	2283988963	1515024000
17172.3	1412703791	1515110400
16228.16	1309532650	1515196800
14976.17	2166366561	1515283200
14468.5	1486802326	1515369600
14919.49	2025083791	1515456000
13308.06	2373494122	1515542400
13841.19	1402292717	1515628800
14243.12	1021352776	1515715200
13638.63	1112590573	1515801600
13631.98	1170462751	1515888000
11282.49	3842651741	1515974400
11162.7	3666978316	1516060800
11175.52	2357251805	1516147200
11521.76	1264875700	1516233600
12783.94	1492721765	1516320000
11549.93	1552755290	1516406400
10814.52	1811992346	1516492800
10858.23	1710180829	1516579200
11429.02	1286435482	1516665600
11175.87	1061064251	1516752000
11104.2	1560135332	1516838400
11459.71	1031091634	1516924800
11767.74	1038153170	1517011200
11233.95	920836244	1517097600
10107.26	1720894077	1517184000
10226.86	1230902973	1517270400
9114.72	1964308989	1517356800
8870.82	2768759876	1517443200
9251.27	1253484523	1517529600
8218.05	1413207411	1517616000
6937.08	2534149181	1517702400
7701.25	3397596514	1517788800
7592.72	2159765331	1517875200
8260.69	1594673974	1517961600
8696.83	1348072086	1518048000
8569.29	1348923336	1518134400
8084.61	1013771946	1518220800
8911.27	1085921871	1518307200
8544.69	853320352.7	1518393600
9485.64	1220863360	1518480000
10033.75	1666668488	1518566400
10188.73	1061827697	1518652800
11097.21	1327921168	1518739200
10417.23	1659704217	1518825600
11182.28	1186535654	1518912000
11256.43	1640343868	1518998400
10481.66	1982721125	1519084800
9847.96	1795951830	1519171200
10175.51	1399448203	1519257600
9705.73	1244484469	1519344000
9610.11	793093192.7	1519430400
10326.5	1181729273	1519516800
10594.76	1060840699	1519603200
10334.44	1126074676	1519689600
10929.37	952472120	1519776000
11043.12	852908489.6	1519862400
11465.36	812200126.2	1519948800
11504.42	690727335.6	1520035200
11440.73	791471905.1	1520121600
10735.45	1210081181	1520208000
9928.56	1858869115	1520294400
9316.72	1492236090	1520380800
9252.76	2081621423	1520467200
8797.27	1084925796	1520553600
9544.84	1374814644	1520640000
9142.15	1435404200	1520726400
9160.12	1228556284	1520812800
8217.7	1385572512	1520899200
8268.41	1519850465	1520985600
8283.23	1082790137	1521072000
7883.45	901939423	1521158400
8215.4	1535519445	1521244800
8623.14	1447812723	1521331200
8920.71	1150462439	1521417600
8911.35	991376397	1521504000
8724.98	1023286566	1521590400
8934.8	939997284.5	1521676800
8548.06	827663165.3	1521763200
8472.84	657643520.3	1521849600
8152.2	1079038735	1521936000
7808.48	930754990.5	1522022400
7959.78	657712114.9	1522108800
7106.62	1379180030	1522195200
6853.76	1584675343	1522281600
6943.77	915400590.6	1522368000
6835.84	889887684.7	1522454400
7074.6	748861435.1	1522540800
7434.3	905326798.6	1522627200
6815.5	877199782.2	1522713600
6790.45	777145174.8	1522800000
6634.86	605651287.5	1522886400
6917.2	564883141.5	1522972800
7049.92	425825572.1	1523059200
6789.53	901883664.9	1523145600
6871.07	424510977.3	1523232000
6977.13	450141340.2	1523318400
7927.73	1490759970	1523404800
7899.11	1171435821	1523491200
8022.51	537286381.9	1523577600
8376.73	570527804.6	1523664000
8079.77	713471956.8	1523750400
7921.63	580880500.8	1523836800
8189.96	593500791.6	1523923200
8301.82	602099034.9	1524009600
8877.08	979994921.5	1524096000
8935.72	829073400.7	1524182400
8996.18	347738139.3	1524268800
